,datetime,city,state,shape,comment
75,12/11/20 04:00,Oaktown,IN,Diamond,"I have reported this once already,it is ongoing.The lights around my home & the Sawmill in Oaktown laminate,drone-like.I can see people,entities,both black & white cloaked figures,alien looking figures.I don't know what they are but this has been ongoing by my observation at least a year.Im under the assumption that they may have crashed,maybe a cover up since the craft can't be seen by the naked eye.Gusts of wind has showed up numerous times making it feel like I'm in like a tornado & it moves,not staying in one spot.I have witnessed several black stealth looking objects blending in with the clouds.I have also seen what looks like beams coming down & crowds of people look to be running from.I have several pictures I have taken thru a dvr security system showing most of this.If it helps,the cordenance to the sawmill is 38.873,-87,437"
76,12/11/20 00:03,Stonington,CT,Cone,"Long. Without my glasses, it looked like a cluster of stars."
77,12/10/20 20:06,Chicago,IL,Light,Ufo travelled at high speed and disappeared in a portal?
78,12/10/20 20:06,Chicago,IL,Light,Ufo travelled at high speed and disappeared in a portal?
79,12/10/20 20:05,Melbourne,FL,Triangle,"Triangular objects over Melbourne, FL"
80,12/10/20 19:25,Hookstown,PA,Fireball,"Fiery, bluish, rocket tail traveling the night sky at a super sonic speed, then disappearing; left a distinct smokey travel line."
81,12/10/20 18:42,Naples,FL,Triangle,Video taped something actting funny in the sky.
82,12/10/20 18:42,Naples,FL,Triangle,Triangle shape the strip it look to be bounce up sideways and down really fast.
83,12/10/20 18:30,Owatonna,MN,Unknown,Object with multiple white lights flying east bound making a sharp southern turn then turning back west and finally turns south as it gained altitude and slowly lights faded beyond sight. This happened in roughly 1 minutes time. All turns were 90% with no stopping involved. Craft appeared to be higher altitude then lower flying aircraft due to a slight haze not seen coming from aircraft lights as it did with stars and Jupiter/Saturn at the same time.
84,12/10/20 18:00,Washington,DC,Light,Bright light not blinking moves across sky making no sound.
85,12/10/20 17:15,Carson City,NV,Light,"Carson City, 12/10/20: Just after dusk looking at sky. In a split second 2 blue/white lights, streaked very high above me as fast as snap of fingers, side by side, simultaneously, then disappeared and no sound."
86,12/10/20 17:00,Lagrange,IN,Light,Strange lights over Lagrange Indiana 12/10/2020
87,12/10/20 06:55,Petoskey,MI,Light,Bright Flash on Fast Little Light Traveling over Little Traverse Bay
88,12/10/20 03:20,McConnell,WV,Disk,"Seen from old rt 10 on 3 mile curve.  One disc like structure at high speed was witnessed to drop straight down behind tree line located between 3 mile curve and Rum Creek in Logan, WV.   Both witnesses agree the disc or perfect circle due to rotation of UFO was a very light grayish silver color.  Not chrome in color though.  One witness states seeing an orangish red exhaust coming from rear end immediately before seeming to drop behind trees and hit ground.   Same witness states after 1 or 2 seconds of the UFOs disappearance, a twinkling trail began to appear in UFOs path lasted very briefly."
89,12/10/20 03:15,WinstonSalem,NC,Other,A bright not moving object with pulsating red light watched for 45min to 1 hour
90,12/10/20 01:00,Anaheim,CA,Other,Black cube seen from 100 meters. Clear 3D object
91,12/10/20,Naples,FL,Triangle,Triangle shape the strip it look to be bounce up sideways and down really fast.
92,12/9/20 00:00,Tucson,AZ,Light,A series of unusual lights seen in the Southern skies of Tucson
93,12/9/20 21:47,York Harbor,ME,Circle,Pulsating Circular Light in sky off Southern Maine Coast
94,12/9/20 20:15,Port Orchard,WA,Sphere,"Orange floating rotating ball, appears to follow me as I Walk around"
95,12/9/20 19:24,Benton,LA,Sphere,Two to three objects seemingly intelligently operated. Stopped then swelled in size with large flash and streak of light.
96,12/9/20 19:00,Golden,CO,Chevron,I saw this only the next day as I was looking at the photos I took with my IPhone SE 2020. It must be a glitch in the camera. Could a satellite show up this way?
97,12/9/20 07:15,Modesto,CA,Sphere,An amber colored orb drops in and hovers above Turlock and moves above the modesto area. There is also two bright white sphere's that come in from the west and head north towards San Francisco. This happens every night with out fail. They bob up and down and go side to side along with changing their elevation.This has been going on since I noticed them in Feb of 2020.
98,12/9/20,Gloucester,VA,Triangle,"My sister called five minutes ago and told me to go outside and look up to see a triangluar vechicle moving through the sky with red and white flashing lights.  I have never seen anything like that before.  I googled the discription and found nothing to suggest what it is and might be doing.  We do live in an area with a large military presence as well: Cheatam Accex, Northrup Grummon, Naval Weapons Shipyard,,  Navy Base in Norfolk, Langley/ Fort Eustus etc. So  was it a spy plane; if not what was it?"
99,12/8/20 23:00,Bend,OR,Other,"We are missing 5-7 hours of time and my foot is now injured, and bruises all are healed from acute pancreatitis"
100,12/8/20 21:50,Great Meadows,NJ,Triangle,2 Triangular Ufos with 3 bright green lights appeared in the sky and flew towards eachother.
101,12/8/20 18:30,Denver,CO,Light,"Flashing light in Denver, not plane or helicopter."
