,datetime,city,state,shape,comment
76,4/29/20 09:45,West Jordan,UT,Cylinder,"I was walking northbound and observed a white light (much like Venus in brightness) slowly travelling both and a very slowly speed.  I guess the approximate altitude about 20,000 feet. The object moved north and hovered in one spot for the duration of the sighting. It appeared to the naked eye as a small bright white light.  When I viewed it through binoculars, the shape was cylindrical with two small cylindrical objects the the each side. Half the the length of the main object.  It was grey in color and the two objects on the side are either engines or reflectors."
77,4/29/20 06:00,Covington,KY,Circle,2 spheres about a foot apart colliding together and back apart.
78,4/29/20 04:15,Frostproof,FL,Light,I saw a very bright very green light descend over Lake Clinch.
79,4/29/20 03:18,Santa Fe,NM,<br/>,MADAR Node  78
80,4/29/20 00:45,Carson City,NV,Sphere,Bright Object jumping back and forth in sky followed by 3 star like diagonally lined object hovering in the sky
81,4/29/20 00:30,Ewa Beach,HI,Light,"White light, with orange trails on each side."
82,4/28/20 00:00,Hammonton,NJ,Formation,"The light were in formation, nothing like i ever seen in my life.they travel very fast in single line in the sky traveling from the west to the east.. i mean it was a view and all in one line . Crazy nothing  like i ever seen . No trails no flashing light like our aircraft have i counted 25 and its unbelievable all in straight line symmetrical i never seen anything like this ever"
83,4/28/20 23:20,Trafalgar,IN,Circle,Helicopter chasing red large round object in the sky.
84,4/28/20 23:15,Courtenay (Canada),BC,Light,"I watched them go by, they seem to be approximately the same distance apart. In a line. They were bright steady lights. Moving quite fast . Just plain white light"
85,4/28/20 23:00,Yerevan (Armenia),<br/>,Triangle,"3 red dot lights keeping their triangle shape and spinning in circles, i saw this while i was smoking outside on my balcony,my apartment is at the roof"
86,4/28/20 22:10,Wilmington,NC,Unknown,"10 white lights in formation, observed over Wilmington NC."
87,4/28/20 22:00,Taylors,SC,Formation,String of lights formation.  Traveling west to east.
88,4/28/20 22:00,Millington,TN,Light,"Bright singular light hovering, disappearing, then reappearing in minutes"
89,4/28/20 22:00,Belton,SC,Circle,We saw (what I counted) 12 round orbs following one another at an exact distance from one another in a straight line across the sky at a very fast pace.  We first thought they were stars but due to the speed we realized they were traveling very very fast.  Then one after another they started to vanish.  We tried to record or take pictures with our phones but they weren’t strong enough to capture the images in the dark sky.
90,4/28/20 21:58,Iowa Park,TX,Light,"Last night I stepped out on porch looked up North West direction and it looked like a string of white lights evenly spaced apart from my view began about the height of the telephone pole upward in a linear arched manner. The lights were moving in a line toward the half moon sitting due west of my home, then one by one disappeared into the darkness.  The skies were mostly clear few wispy clouds from few miles east of my home to the west.  However, east of this area was thunder storm lightning event that was moving south east. I’ve never seen anything like this before and was wondering if they were launching satellites or something.  Wish I’d had my phone out there with me.  I’m an educated person in the health field we live outside city limits slightly where ther a no city lights interfering with star gazing. I’m certain I’m not the only person to have observed these lights it was extraordinary it caught my eye.  I’ve never seen or reported anything like this before.  You may contact me if needed/confirm if others saw these lights too."
91,4/28/20 21:49,Kamay,TX,Light,I saw a line of about 8 to 10 star-like looking objects. They were moving in an upward angle towards south.  ((Starlink satellites??)
92,4/28/20 21:45,Iowa Park,TX,Formation,19 starry objects in a line vanish.
93,4/28/20 21:45,Lawton,OK,Formation,Linear light formation traveling east.
94,4/28/20 21:35,Leicester,NC,Formation,A string of fast moving lights moving rapidly from north to south.
95,4/28/20 21:30,Louisville,KY,Light,Numerous lights moving in a single file seen in the nighttime sky
96,4/28/20 21:30,Folly Beach,SC,Light,Approximately 40 white lights in a straight line moving from right to left all disappearing at a certain point.
97,4/28/20 21:30,Greensboro,NC,Formation,"23 unidentified flying objects in single file formation, flying at a high rate of speed."
98,4/28/20 21:30,Fordyce,AR,Light,Lights traveling
99,4/28/20 21:30,Richlands,NC,Light,lights evenly spaced traveling west to east. for aprox 15 min.
100,4/28/20 21:30,Elkview,WV,Light,5-6 star like objects in a straight line moving across the sky from west to south east
101,4/28/20 21:20,Wichita,KS,Formation,Saw a bunch of round bright lights in formation across the whole sky
102,4/28/20 21:19,Charleston,WV,Light,"Approximately 10 lights located high in the sky traveling simultaneously from northwest to Southeast,  lasting almost 2 minutes"
103,4/28/20 21:15,Boiling Spring Lakes,NC,Other,"Numerous objects, similar in size and brightness to stars at night, moving rapidly in a northwest  to southeast arc, then disappearing."
104,4/28/20 21:15,North Augusta,SC,Light,Long  string of lights traveling for south west to the north east.  Evenly spaced apart and traveling at the same speed. I saw about  40 or 50 but they were already  above and passing by when I noticed it.
105,4/28/20 21:09,Watsonville,CA,<br/>,MADAR Node 105
106,4/28/20 21:00,Mays Landing,NJ,Circle,30 silent bright lights moving fast in a row
107,4/28/20 21:00,Merrilville,IN,Light,UFO’s Might be Observing Elon Musk’s StarLink satellites!
108,4/28/20 21:00,Easley,SC,Light,50 light anomalies headed north east in PERFECT FORMATION AND SPACING apart.
109,4/28/20 21:00,Baltimore City,MD,Circle,Bright circular lights flying in unison
110,4/28/20 20:55,Scott’s Valley,CA,Chevron,"Large, dim, chevron shaped craft seen at night traveling north and accompanied by an oblong craft traveling very fast"
111,4/28/20 20:51,Newark,DE,Light,Lights moving evenly in single file at a fast pace.
112,4/28/20 20:50,Pueblo,CO,Light,Traveling lights over Pueblo
113,4/28/20 20:45,Medford,OR,Fireball,Flaming object traveling extremely quickly from east to west duration lasting between 3 and 8 seconds descended towards Jacksonville.
114,4/28/20 20:45,Cottonwood,AZ,Disk,"flew from East to West in straight line, flat circular object with dim white lights around edges.  Seem to become brighter and then vanished.  Appeared larger than commercial jet. Had no sound.  Very fast,visible for only 5 seconds.  Had no trail."
115,4/28/20 20:45,Beaverton,OR,Sphere,"Appeared out of nowhere, slighyly above the tree line, crossed over roadway, east to west. White ball of light, crossed quickly then speed away & disappeared. 15-30 seconds"
116,4/28/20 20:40,Salem,OR,Circle,"I was driving on Cordon Rd, from Ward Dr to State St when I saw it.  It was going perpendicular of my driving.  It was just below the clouds and was a light green color.  The even lasted a little less than 2 minutes, as it was moving along the underneath of clouds and eventually disappeared."
117,4/28/20 20:30,Albuquerque,NM,Light,UFO - Red light hovers over Sandia Mountain then at low it changes to two different colors and dissappears!!
118,4/28/20 20:30,Dixon,NM,Light,"A string of lights symmetrical in distance apart, moving quick across the sky and then fading away into the distance"
119,4/28/20 20:27,Tulsa,OK,Triangle,Photos of ufo hidden in cloud bank after thunderstorm.
120,4/28/20 20:26,Spencer,OK,Disk,"Me and my son went outside to smoke and when we looked up there was a single line of 13 saucer shaped disc headed east, there was no noise and then disappeared into the clouds."
121,4/28/20 20:10,Palmer Lake,CO,Light,"While at the park doing some sky watching there was a line of craft perfectly spaced traveling across the sky.  They seemed to be traveling in a large group. They were symmetric in shape.  They appeared to be very high up, defiantly higher than any combustion aircraft can fly.  No noise was produced by these craft.  Quiet and peaceful."
122,4/28/20 20:00,Hope Mills,NC,Formation,A perfectly straight line of bright lights were flying by overhead then ascended into outer space. Objects were perfectly quiet..Was in the Air Force and have seen every type of aircraft imaginable. Nothing like I've ever seen before!
123,4/28/20 20:00,Trinidad,CA,Disk,"Disk object seen flying at high rate of speed at low angle towards ocean.  Surrounded by huge flames.  Colored orange, yellow, blue, white.  Possible 10 or 20 foot long  flames.  Object was close to Trinidad rest area on Hwy. 101, North of Trinidad town.  Object appeared to be around the size of a small house, or perhaps two large school buses.  Seen by people at rest area."
124,4/28/20 18:00,Gresham,OR,Cigar,"Object was heading from east to west at an angle of descent.  Was moving fast, unit it vanished.  Entire object was lit up as a single light bright white.  From time of sight to time of vanishing was about 6 seconds and coving a great distance.  We were looking in south direction towards Walters hill from by Gresham police station.  There was no sound..."
125,4/28/20 16:00,Baker City,OR,Formation,I have never seen any thing like this and I use my binoculars several times a week.
126,4/28/20 15:00,Eugene,OR,Circle,4-28-20 3:10 pm I took three photos of a commercial plane flying East past our moon which was visible at the time.  In the second photo  a dark object appears in front of plain which was not visible when taking photo.  
127,4/28/20 12:00,Magnolia Park,FL,Changing,Large white and green shape low in sky see in magnolia park fl
128,4/28/20 11:15,Denver,CO,Light,"I was sitting outside viewing the norther sky when I noticed eight lights in the shape of the tip of an arrow ^ but facing downward.  The lights were reddish orange and flew in formation like geese, suddenly the lights intertwined and separated.  They seem to either have flown up and out further into space. Looked much higher than most satellites."
129,4/28/20 11:00,Granite Quarry,NC,Sphere,"Driving south on hwy 52 in Granite Quarry NC. 11:00am looked to the left and noticed a round shiney object 2 miles away and a few miles up.very shiney!  About that time I saw this a black fuzzy BLK round object came out of it from the center top.  About the time I could focus in on it.  It all of a sudden it went straight up and out of sight in a second.  then the silver object.  Which was actually moving horizontal, did the same but not quite straight up.  They went so fast they were up and through the atmosphere in a second.  Intriguing, weird, and scary all at the same time.  Definitely saw this clear enough to say it wasn't from here.  It left me feeling almost vulnerable because of what I just saw."
130,4/28/20 11:00,Lake Quivira,KS,Sphere,"During the morning we saw a UFO fly over us, black and transparent almost.  It disappeared after a few minutes.  Was weirdly shaped."
131,4/28/20 10:59,Portland,OR,<br/>,MADAR Node  66
132,4/28/20 10:50,Ontario,OR,Light,Satellite accelerated and changed directions around a seperate satellite very suddenly and quickly.
133,4/28/20 09:30,Statesboro,GA,Fireball,Several craft was shooting into the air and it lasted about 5 mins.  At first it looked like a chain of lights but after they got so high they just disappeared.  But as they would vanish new ones would appear as if launching..  No noise.was not normal.
134,4/28/20 09:30,Wilson,NC,Light,20 lights  flying single file evenly apart
135,4/28/20 07:20,Selinsgrove,PA,Sphere,"Large Blue Sphere Over Susquehanna River, Selinsgrove PA, in the early morning hours of April 28, 2020"
136,4/28/20 02:10,Hermitage,PA,Light,bright stationary star dims and brightens several times
137,4/28/20 00:10,Säve,<br/>,Triangle,prick vänder på himelen WTF
138,4/27/20 23:30,Kent,WA,Circle,"Walked out side looking up at the night sky and thought to myself, wow there’s a lot of stars tonight. Well then I realized that one of the stars was moving then shoot up till it disappeared. Then noticed another so the same. Then notice one over the house, not right over up in the sky but oddly moved and the up till it faded. Then noticed about 5 in a row coming from the East then all did the same. Had my wife and daughter come out to see."
139,4/27/20 23:30,Maple Falls,WA,Unknown,Last night we were outside and saw an object moving across the sky.  The object was visable for 30 seconds then disappeared.  It was followed immediately by another and another. All flew into the same area and disappeared.  They came at 15 second intervals. There was no flashing light or colors. There was no sound.
140,4/27/20 23:00,Fayetteville,GA,Egg,"Bright object over Atlanta, GA."
141,4/27/20 23:00,Carmichael,CA,Light,"It looked like the sheriffs helicopter with its spotlight on which is common in my area.  Absolutely no no noise.  It was flying directly towards me at about 1500 feet.  I’m a (drone pilot) so that’s a pretty good guess on altitude.  The light went out and there was nothing there, No strobes, no craft, nothing.  Incidentally in correlation my phone, iPad, music speaker all powered down.  Probably my 8th sighting through out my life."
142,4/27/20 23:00,Burnaby (Canada),BC,Light,Several star-like lights travelling across sky with one that sped up to avoid collision into another.
143,4/27/20 22:45,Carryville,TN,Formation,"I was driving home around 10:45 pm.  I got off exit 134 in Carryville, Tn, and over Covelake there were 3 orange lights.  At first they were all in a row just above the tree line.  They kept moving south and taking on a triangular formation.  Other people had to see it as well because there were many cars on the road at that time too."
144,4/27/20 22:40,Raymond,WA,Other,"24 lights from one spot in the sky, heading W S and E"
