,datetime,city,state,shape,comment
1592,7/20/18 20:18,Peoria,IL,Cylinder,"Bright, White, Long, Huge Cylindrical Object above my place."
1593,7/20/18 20:18,Peoria,IL,Cylinder,"Long, Big, Bright White Cylinder over my place in daylight"
1594,7/20/18 17:50,Manchester,NH,Unknown,Flickering object sighted moving from SE to NW in Manchester NH.
1595,7/20/18 15:18,Laurelville,OH,<br/>,MADAR Node 107
1596,7/20/18 12:17,Agawam,MA,Sphere,"This object was observed for 15 minutes by myself, my wife and a family friend.  The object was very high in altitude when compared to aircraft flying overhead (compared to transient aircraft at high altitude, NOT compared to local aircraft on approach/departure from BDL approx 10 SSW of our location.  The object was first observed by myself almost due north of us, and pointed out to my wife and friend.  The object appeared to be spherical in shape however due to the brightness of the object no true discernable outline was visible.  The weather was hot and humid with slight haze.  The object was only visible while wearing sunglasses, with sunglasses off the object was unable to be seen.  It was however, bright and had an almost mirror like shine to it.  It did not appear to be moving at all in reference to nearby inanimate structures.  There were 60 to 70 foot trees approximately 100 yards in front of us, the object was roughly three hand widths above the tree line.  The intensity of the light did not fade or increase throughout the sighting.  We were actually in an amusement park ride line when it was spotted.  After completing the ride we were unable to find the object again.  About the closest thing I could compare this to would be viewing a planet such as Venus at dusk, again however it was mid-day.  Unfortunately due to the fact we were at an amusement/water park, none of us had our cell phones on us."
1597,7/20/18 04:45,Coldwater,MS,Triangle,"I was driving to work at 4:45a.m.  No other cars were on the road at that time.  When all of a sudden I seen a triangle shaped object with at least 2 bright white lights on it hovering from above a little ways in front of me.  As as I drove closer, and was right underneath it, it had no sound. I figured out what it was and stumped on the gas and drove from underneath it in a hurry, it scared me being so close.  When I got to work nobody believed me though."
1598,7/20/18 03:50,Las Vegas,NV,Light,"Witnessed a bright orange or red light at around 3:51AM.  I was walking east on Washington and noticed a bright light above the homes and treeline facing almost north east.  The light appeared to be a light flare but the duration was too long and steady to be one.  The event lasted about 10 seconds.  No sound or pulsating lights occurred.  Never seen such an object in the skies before.  I was able to record the phenomenon and it can be clearly seen on video.  I was able to catch the object disappear on video as well.  The object never moved, it stood steady and bright and just went out like a lamp in the sky."
1599,7/20/18 01:00,Shelton,WA,Fireball,The witnesses were both young adults. We were walking to a nearby park at around 1:00 a.m. when we saw a bright green fireball fly across the sky maybe 30 feet above the trees. When it flew across the sky it shot red triangle shaped things backwards at about 45 degrees of the direction it was fly. The triangles went about 5 feet from the flying object before vanishing. The triangles were shot off both sides of the flying object. It took the flying object about 5 seconds to fly out of sight. Both witnesses looked at each other in confusion and believed no one would take us seriously if we talked about it.
1600,7/19/18 22:30,Port St. Lucie,FL,Unknown,"opened door to go to store, and noticed a flash. assumed it was lightning in the distance but nothing on radar close to address.  went in front of house and looking due east at about 45-55 degrees up, saw what looked like an airplane making a down ward north direction turn when it turn due east and up ward at 90 degrees and at a very high rate of speed went due east out towards the ocean.  "
1601,7/19/18 22:20,Pilot Rock,OR,Sphere,"Two separate red glowing orbs traversing the sky in a NNE direction, seen 11 minutes apart."
1602,7/19/18 22:00,Marfa,TX,Triangle,West Texas Triangle UFOs
1603,7/19/18 21:55,Langhorne,PA,Light,2 light objects disappear after bright flash from 3rd object
1604,7/19/18 21:45,Langhorne,PA,Light,Large Bright white light traveled distance of sky in less then 30 seconds.
1605,7/19/18 21:20,Johnstown,PA,Fireball,I saw a fireball shaped craft hovering and making zig zag patterns in the sky.  It had a smaller orb circling it like it was orbiting around the craft.  It turned completely black like it was cloaking itself.  Another black craft met with it and they sped off into the mountains.
1606,7/19/18 21:15,Standish,CA,Other,boomerang-shaped object
1607,7/19/18 20:45,Topeka,KS,Circle,"UFO OVER TOPEKA East Topeka, Kansas   July 19, 2018 /8:30 to 9:30 PM ,  "
1608,7/19/18 17:30,Boise,ID,Oval,Unknown orb observed for 4 hours
1609,7/19/18 10:30,Foley,AL,Other,Unknown craft aerobatic and very fast.
1610,7/19/18 09:20,Beach Haven,NJ,Circle,Three red orbs seen off shore LBI.
1611,7/19/18 01:00,Clear Lake,CA,Circle,"Clear Lake, California 1:00 large green light flashing and none flashing hovered above the sky at a slow, then rapid pace"
1612,7/19/18 01:00,London (UK/England),<br/>,Circle,Round object abruptly changes Direction and colour.
1613,7/18/18 23:00,Monessen,PA,Flash,"yellow bright light balls appearing and disappearing ,then reappearing , miles away in night sky."
1614,7/18/18 23:00,Greenwood,IN,Light,"stationary to slow moving ball of light, 3 nights in a row."
1615,7/18/18 22:00,Tuscaloosa,AL,Fireball,"I noticed a ball of light out of my window right above the tree line.  It was glowing orange.  I watched for a few minutes then the light seemed to be going farther away and turning into a small point of white light, it looked like a regular star.  "
1616,7/18/18 21:50,Fort Collins,CO,Light,"Amber light drops from sky, stops abruptly, shoots out object towards ground, drops low on the horizon, hovers before disappearing."
1617,7/18/18 21:30,Vance,AL,Light,Bright white light moving at speed headed south to north without flashing lights or sound.
1618,7/18/18 21:15,Davenport,WA,Light,Light moving at an exceptionally high rate of speed south to north.
1619,7/18/18 21:00,North Las Vegas,NV,Oval,Orb like UFO followed by High Speed Aircraft over Las Vegas heading NE
1620,7/18/18 20:45,Albuquerque,NM,Other,"I was on the roof when my son looked up and said &quot; what is that &quot;, pointing to a black spot, very high moving very fast west"
1621,7/18/18 20:45,Peculiar,MO,Cylinder,Object was moving from northeast to south west very fast and extremely high altitude with no lights or jet trails.  It was a very large cylinder type object with no noise from engines.
1622,7/18/18 19:25,Montello,WI,Sphere,"1 round, 1 smaller triangular companion object, seen hovering beyond treeline by 3 south of Montello, Wisconsin.  4 pictures taken."
